run_id,metamodule,annotation,folder,run_index,program_index,program_name,description,supporting_genes,supporting_gene_count,significance_score,predicted_impacts
00_Gliosis_run1,0,Gliosis,00_Gliosis,1,0,Mesenchymal Transition & Invasion,"This program encompasses the transition of glioblastoma cells towards a mesenchymal, highly invasive state associated with aggressive tumor progression, therapy resistance, and poor prognosis. Gene products facilitate ECM remodeling, motility, and intratumoral heterogeneity.","[""FN1"", ""COL6A2"", ""COL1A2"", ""COL5A1"", ""TNC"", ""SPP1"", ""SERPINE1"", ""CHI3L1"", ""FOSL1"", ""BIRC3"", ""MET"", ""AXL"", ""CAV1"", ""HMGA2""]",14,0.97,"[""Enhanced invasion and motility of tumor cells"", ""Promotion of therapy resistance by supporting stem-like populations"", ""ECM remodeling and increased intratumoral heterogeneity""]"
00_Gliosis_run1,0,Gliosis,00_Gliosis,1,1,Hypoxia Response & Angiogenesis,"Genes driving responses to hypoxia, neovascularization, and metabolic adaptation. Prominent in glioblastoma's enhancement of vascular networks, therapeutic resistance, and resilience in low-oxygen microenvironments.","[""VEGFA"", ""ANGPTL4"", ""APLN"", ""CCN1"", ""ICAM1"", ""SERPINE1"", ""NDRG1"", ""BIRC3"", ""MET"", ""ANPEP""]",10,0.95,"[""Induction of angiogenesis and microvascular proliferation"", ""Cellular adaptation to hypoxia and metabolic stress"", ""Promotion of inflammation and immune cell recruitment""]"
00_Gliosis_run1,0,Gliosis,00_Gliosis,1,2,Immunosuppression & Inflammation,"Genes promoting immune evasion, immunosuppressive microenvironment via cytokines, chemokines, immune checkpoints, and inflammation mediators.","[""IL6"", ""CXCL10"", ""CXCL8"", ""IL1R1"", ""PTGS2"", ""TLR2"", ""ICAM1"", ""CD274"", ""IDO1"", ""FAS"", ""BIRC3"", ""TNFAIP3"", ""SAA1"", ""SAA2"", ""SAA4"", ""CXCL14""]",16,0.93,"[""Inhibition of anti-tumor immunity"", ""Recruitment of immunosuppressive macrophages and T cells"", ""Promotion of chronic inflammation tissue remodeling""]"
00_Gliosis_run1,0,Gliosis,00_Gliosis,1,3,Stem Cell Maintenance & Therapy Resistance,"Genes regulating maintenance, self-renewal, and therapy resistance of glioblastoma stem-like cells, driving tumor initiation, recurrence, and resistance to cytotoxic treatment.","[""PROM1"", ""LIF"", ""HMGA2"", ""FOSL1"", ""MET"", ""BIRC3"", ""SERPINE1""]",7,0.92,"[""Promotion of tumor initiation and recurrence"", ""Resistance to cytotoxic and antiangiogenic treatments"", ""Enhanced stem cell maintenance and plasticity""]"
00_Gliosis_run2,0,Gliosis,00_Gliosis,2,0,Mesenchymal Transition & Invasion,"This program assembles genes regulating key drivers of mesenchymal transition, cellular motility, matrix remodeling, tumor infiltration, and invasion through both transcriptional reprogramming and effector proteins. FOSL1/AP-1, CHI3L1, SPP1, SERPINE1, CAV1, MET, AXL, FN1, COL5A1, and COL6A2 are prominent in driving or supporting mesenchymal phenotype and cellular invasion processes in glioblastoma.","[""FOSL1"", ""CHI3L1"", ""SERPINE1"", ""SPP1"", ""FN1"", ""CAV1"", ""MET"", ""AXL"", ""COL1A2"", ""COL5A1"", ""COL6A2""]",11,0.98,"[""promotes mesenchymal shift and invasion"", ""enhances cell migration and ECM degradation"", ""supports CAF-like microenvironment""]"
00_Gliosis_run2,0,Gliosis,00_Gliosis,2,1,Immune Modulation and Inflammation,"Cluster of genes representing cytokine/chemokine signaling, inflammatory response, and immune evasion mechanisms. Includes proinflammatory cytokines (IL6, IL1R1), acute phase reactants (SAA1/2/4), chemokines (CXCL8, CXCL10, CXCL14), and immune regulatory checkpoints (CD274), emphasizing the immunosuppressive and inflammatory tumor microenvironment in GBM.","[""IL6"", ""IL1R1"", ""SAA1"", ""SAA2"", ""SAA4"", ""CXCL8"", ""CXCL10"", ""CXCL14"", ""IDO1"", ""CD274""]",10,0.93,"[""drives immunosuppressive microenvironment"", ""sustains chronic inflammation and paracrine tumor support"", ""facilitates immune escape""]"
00_Gliosis_run2,0,Gliosis,00_Gliosis,2,2,Stemness and Therapy Resistance,"Genes maintaining glioblastoma stem-like cell (GSC) identity, pluripotency, and resistance to therapy, such as PROM1 (CD133), HMGA2, LIF, and BAG3. Markers here also impact tumor recurrence, plasticity, and response to stress.","[""PROM1"", ""HMGA2"", ""LIF"", ""BAG3""]",4,0.91,"[""supports GSC identity and heterogeneity"", ""maintains tumor-initiating potential and recurrence risk"", ""drives resistance to therapies""]"
00_Gliosis_run2,0,Gliosis,00_Gliosis,2,3,Angiogenesis & Hypoxic Response,"Groups angiogenic regulators (VEGFA, ANGPTL4, APLN, MET, COL1A2), hypoxia response elements (NDRG1, PTX3), and matrix modifiers, controlling vascular niche formation and metabolic adaptation.","[""VEGFA"", ""ANGPTL4"", ""APLN"", ""MET"", ""PTX3"", ""NDRG1""]",6,0.92,"[""promotes neovascularization"", ""supports metabolic adaptation to hypoxia"", ""enhances tumor growth and survival""]"
00_Gliosis_run2,0,Gliosis,00_Gliosis,2,4,Therapy Resistance and Drug Efflux,"Genes related to apoptosis suppression (BIRC3, TNFAIP3/2), multidrug resistance (ABCC3), and survival pathways. Program involves resistance to cell stress, apoptosis, and ineffective drug penetration.","[""BIRC3"", ""TNFAIP3"", ""TNFAIP2"", ""ABCC3""]",4,0.87,"[""increases resistance to chemotherapy"", ""suppresses apoptosis"", ""enhances tumor survival""]"
01_OPC-AC-like_1_run1,1,OPC-AC-like 1,01_OPC-AC-like_1,1,0,Glial/astrocyte differentiation and tumor plasticity,"Gene products such as GFAP mark astrocytic differentiation; in glioblastoma, heterogeneous expression patterns reflect diverse tumor cell populations and dedifferentiation. ARC and DAB1 participate in neural activity and cell signaling, potentially linked to malignant plasticity.","[""GFAP"", ""DAB1"", ""ARC""]",3,0.95,"[""astrocyte signature retention and dedifferentiation dynamics"", ""heterogeneous cellular phenotypes reflecting tumor adaptability""]"
