run_a_id,run_b_id,program_a_index,program_b_index,program_a_name,program_b_name,gene_jaccard,name_similarity,combined_similarity,folder,metamodule,annotation
0_Gliosis_run1,0_Gliosis_run2,0,0,EMT-Driven Invasive Dispersal,EMT-Driven Invasion Program,0.375,0.799592985728041,0.5872964928640205,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,6,8,Apoptosis Evasion and Drug Resistance,Apoptosis Resistance and Survival Signaling,0.3333333333333333,0.7754705154420216,0.5544019243876774,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,2,1,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Pro-Inflammatory Cytokine Signaling,0.4444444444444444,0.6348213765147342,0.5396329104795894,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,9,5,Stemness Maintenance and Self-Renewal,Glioma Stem Cell Maintenance,0.25,0.6903042560496384,0.4701521280248192,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,10,3,Immune Checkpoint and T Cell Suppression,Immune Evasion and Checkpoint Activation,0.1,0.7459297091730499,0.42296485458652494,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,3,2,VEGFA-Driven Tumor Angiogenesis,Angiogenesis and Vascular Signaling,0.1,0.6750737709103236,0.3875368854551618,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,5,9,AXL-Mediated Mesenchymal Programming,Growth Factor and Receptor Signaling,0.25,0.3966052439752646,0.32330262198763227,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,8,4,Extracellular Matrix Composition and Immunomodulation,Extracellular Matrix Proteolysis,0.0,0.6001833207709755,0.30009166038548774,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,1,6,Tryptophan-Pathway Immune Evasion,Hypoxia Adaptation and Response,0.25,0.3194915324713931,0.2847457662356966,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,7,7,Innate Immune Pattern Recognition,Macrophage/Microglia Reprogramming,0.15384615384615385,0.36839267944562687,0.26111941664589033,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,11,10,mRNA-Based Mesenchymal Signaling,Transcriptional Master Regulation,0.0,0.4680881794209887,0.23404408971049434,0_Gliosis,0,Gliosis
0_Gliosis_run1,0_Gliosis_run2,4,13,MET-Driven Stemness and Invasiveness,Metabolic Adaptation and Nutrient Sensing,0.0,0.4063286292455196,0.2031643146227598,0_Gliosis,0,Gliosis
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,6,5,Transcriptional Control of Neural Differentiation,Transcriptional Repression of Neural Differentiation,0.75,0.8219882522923072,0.7859941261461536,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,0,0,Extracellular Matrix Remodeling and Invasion,Extracellular Matrix Remodeling,0.45,0.8807423301962171,0.6653711650981086,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,3,2,Ion Channel-Mediated Cellular Signaling,Calcium Signaling Through Ion Channels,0.47058823529411764,0.7310100341020291,0.6007991346980734,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,2,4,Growth Factor Receptor Signaling,Receptor Tyrosine Kinase Signaling,0.42857142857142855,0.761624903695108,0.5950981661332683,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,5,8,RNA Binding and Post-transcriptional Regulation,RNA-Binding and Post-Transcriptional Control,0.15384615384615385,0.8898703551155923,0.5218582544808731,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,1,1,Cell Adhesion and Synaptic-Like Junctions,Cadherin-Mediated Cell Adhesion,0.3333333333333333,0.6239430110589325,0.4786381721961329,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,4,3,Axon Guidance and Repulsive Signaling,Synaptic Development and Adhesion,0.2,0.5202640083022347,0.36013200415111735,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,9,6,Metabolic Reprogramming and Lipid Synthesis,Neuropeptide and Neurosecretion Pathways,0.125,0.29763554803355075,0.21131777401677537,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
3_NPC_neuronal_like_2_run1,3_NPC_neuronal_like_2_run2,7,7,Glioma Stem Cell Maintenance and Stemness,Cyclic Nucleotide Signaling and Cell Motility,0.0,0.3501715028419388,0.1750857514209694,3_NPC_neuronal_like_2,3,NPC-neuronal-like 2
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,8,7,Pericyte-Mediated Tumor Angiogenesis and Vascular Remodeling,Pericyte recruitment and vascular stability,1.0,0.6930600756994303,0.8465300378497151,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,5,3,Complement Cascade Activation and Immune Evasion,Complement system activation and immune modulation,0.8571428571428571,0.7799499249840007,0.818546391063429,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,0,0,Osmotic Cell Volume Regulation and Migration,Aquaporin-mediated osmotic water transport and migration,0.7142857142857143,0.6547441235572147,0.6845149189214645,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,1,2,Extracellular Matrix Proteolysis and Invasiveness,Extracellular matrix remodeling and invasive phenotype,0.5384615384615384,0.8052773255941065,0.6718694320278225,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,2,4,Glioma Stem Cell Identity and State Plasticity,Glioma stem cell self-renewal and maintenance,0.36363636363636365,0.7509783715265647,0.5573073675814642,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,4,9,Glycolytic Metabolism and Warburg Effect,Metabolic reprogramming and hypoxia adaptation,0.4,0.6038071428654963,0.5019035714327482,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,6,6,Cell Polarity and Junctional Adhesion,Gap junction communication and chemoresistance,0.2,0.4358173629319374,0.31790868146596873,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,11,8,Innate Immune Activation and Interferon Response,Immune cell infiltration and M2 macrophage polarization,0.0,0.48966888026479827,0.24483444013239913,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,3,5,Endothelin Signaling and Proneural-Mesenchymal Transition,Tumor-associated astrocyte and glial cell reprogramming,0.0,0.4506487509433234,0.2253243754716617,4_AC_gliosis_like_1,4,AC-gliosis-like 1
4_AC_gliosis_like_1_run1,4_AC_gliosis_like_1_run2,10,1,EGF Receptor Signaling and Metastatic Cascade,Aerobic glycolysis-dependent nutrient acquisition,0.0,0.30437613742459496,0.15218806871229748,4_AC_gliosis_like_1,4,AC-gliosis-like 1
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,4,1,Extracellular Matrix Remodeling and Invasion,Extracellular matrix degradation and invasion,0.5833333333333334,0.85543992019389,0.7193866267636118,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,2,2,Synaptic Adhesion and Neuronal Communication,Cell adhesion and synaptic protein scaffolding,0.46153846153846156,0.7088064469781844,0.585172454258323,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,10,3,Tumor-Associated Macrophage Polarization,Tumor-associated macrophage polarization and immune suppression,0.3076923076923077,0.8073400865794939,0.5575161971359008,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,0,9,Immune Checkpoint Signaling,Scavenger receptor and pattern recognition signaling,0.5714285714285714,0.41887556484523314,0.49515206813690227,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,6,4,Wnt/β-Catenin Self-Renewal Signaling,Wnt/β-catenin pathway and stemness maintenance,0.2,0.7740054268942835,0.48700271344714174,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,3,0,Ion Channel Dysregulation and Excitotoxicity,Calcium-mediated cell migration,0.6363636363636364,0.33655100340433175,0.48645731988398405,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,1,6,Receptor Tyrosine Kinase Signaling,DOCK protein-mediated immune synapse formation,0.3333333333333333,0.37267251853491223,0.35300292593412275,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,8,7,Hypoxia-Responsive Transcription,Long non-coding RNA regulation of GBM processes,0.0,0.347065861733548,0.173532930866774,5_AC_neuronal_like,5,AC-neuronal-like
5_AC_neuronal_like_run1,5_AC_neuronal_like_run2,11,8,GTPase Activation and Cytoskeletal Remodeling,Neuron-glioma synaptic plasticity,0.0,0.31994574609214993,0.15997287304607496,5_AC_neuronal_like,5,AC-neuronal-like
