run_id,metamodule,annotation,folder,run_index,program_index,program_name,description,supporting_genes,supporting_gene_count,significance_score,predicted_impacts
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,0,EMT-Driven Invasive Dispersal,"Epithelial-mesenchymal transition program enabling glioblastoma cells to escape the tumor core and infiltrate adjacent brain tissue. SERPINE1 and EMP1 regulate cell adhesion dynamics and directional migration through extracellular matrix interactions. FOSL1 maintains mesenchymal transcriptional identity, while HMGA2 sustains glioma-initiating cell properties required for sustained invasion. COL5A1 and FN1 remodel the extracellular matrix to facilitate cell movement.","[""SERPINE1"", ""EMP1"", ""COL5A1"", ""FN1"", ""FOSL1"", ""HMGA2"", ""SMOC2""]",7,0.92,"[""Enhanced directional cell migration through ECM with reduced dependence on focal adhesion stabilization"", ""Increased invasive capacity into surrounding brain parenchyma"", ""Sustained mesenchymal phenotype independent of differentiation signals"", ""Resistance to anoikis upon ECM detachment"", ""Enhanced self-renewal of glioma-initiating cell populations""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,1,Tryptophan-Pathway Immune Evasion,"Comprehensive immune suppression program centered on activation of the kynurenine pathway. IDO1 and TDO2 catalyze tryptophan degradation, producing immunosuppressive kynurenine metabolites that promote regulatory T cell expansion and cytotoxic T cell apoptosis. CHI3L1 (YKL-40) upregulates IDO1/TDO2 expression and coordinates with kynurenine to inhibit anti-tumor immunity. This program operates in coordination with IL-6 and IL-1β signaling to establish a profoundly immunosuppressive microenvironment.","[""IDO1"", ""CHI3L1"", ""SERPINE1""]",3,0.88,"[""Profound local tryptophan depletion creating selective pressure on tryptophan-dependent immune cells"", ""Expansion of immunosuppressive regulatory T cell populations"", ""Functional exhaustion and apoptosis of CD8+ cytotoxic T cells"", ""Reprogramming of infiltrating macrophages toward immunosuppressive phenotypes"", ""Recruitment of myeloid-derived suppressor cells through coordinated IDO1-AhR signaling"", ""Resistance to PD-1/PD-L1 checkpoint blockade through metabolic immune suppression""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,2,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,"Central pro-inflammatory yet immunosuppressive signaling loop driven by IL-6 and IL-1β cytokines. TNF-α activation of NF-κB induces IL-6 expression, which in turn activates STAT3 signaling. This creates a self-reinforcing autocrine loop that drives tumor cell proliferation, survival, and chemoresistance while simultaneously establishing an immunosuppressive microenvironment through recruitment of myeloid cells. TNFAIP2 and TNFAIP3 are downstream targets that modulate the intensity of this inflammatory response.","[""IL6"", ""IL1R1"", ""TNFAIP3"", ""TNFAIP2"", ""CXCL2"", ""CXCL8""]",6,0.9,"[""Enhanced tumor cell proliferation through NF-\u03baB-driven cyclin D1 expression"", ""Increased chemotherapy resistance through upregulation of anti-apoptotic proteins"", ""Sustained STAT3 activation creating feed-forward signaling loop"", ""Recruitment and polarization of tumor-associated macrophages toward immunosuppressive M2 phenotype"", ""Increased vascular permeability and endothelial cell migration promoting angiogenesis"", ""Elevated production of additional immunosuppressive cytokines creating cytokine storm""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,3,VEGFA-Driven Tumor Angiogenesis,"Hypoxia-driven pro-angiogenic program centered on VEGFA expression and signaling. VEGFA stimulates endothelial cell proliferation, migration, and tube formation, providing essential nutrient and oxygen supply to growing tumors. Cooperating factors including CXCL2, CXCL8, and ANGPTL4 enhance angiogenic responses. CAV1 (caveolin-1) regulates endothelial cell function in tumor vasculature. This program is essential for tumor growth beyond hypoxic diffusion limits and is associated with poor prognosis.","[""VEGFA"", ""CXCL2"", ""CXCL8"", ""ANGPTL4"", ""ICAM1"", ""CAV1""]",6,0.85,"[""Enhanced endothelial cell proliferation and migration toward hypoxic tumor regions"", ""Formation of new tumor vasculature enabling exponential tumor growth"", ""Increased vascular permeability and disrupted blood-brain barrier integrity"", ""Selective recruitment of immunosuppressive myeloid cells while excluding CD8+ T cells"", ""Metabolic reprogramming of endothelial cells toward glycolytic phenotype to support tumor-promoting endothelium"", ""Poor prognosis associated with high VEGFA expression""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,4,MET-Driven Stemness and Invasiveness,"Receptor tyrosine kinase signaling centered on MET activation, a critical driver of glioma stem cell self-renewal, invasiveness, and tumorigenicity. Recent evidence identifies a circular MET RNA (circMET) encoding MET404 variant that forms constitutively active receptor independent of ligand (HGF) stimulation. MET signaling promotes proliferation, survival, and migration while maintaining stem cell features. High MET404 expression predicts poor prognosis. This program is particularly important in primary GBMs with MET amplification or fusion events.","[""MET""]",1,0.83,"[""Enhanced glioma stem cell self-renewal independent of exogenous HGF stimulation"", ""Increased tumor growth rate particularly in xenograft models"", ""Enhanced invasion and migration through AKT/ERK signaling"", ""Resistance to conventional MET inhibitors due to ligand-independent activation"", ""Poor prognostic outcome with high MET404 expression"", ""Synergistic therapeutic response to combination of MET inhibitors targeting different MET isoforms""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,5,AXL-Mediated Mesenchymal Programming,"TAM receptor family member AXL-driven program promoting mesenchymal phenotype, invasion, metastasis, and immunosuppression. AXL is highly expressed in mesenchymal GBM subtype and activated by PROS1 (protein S) secreted from tumor-associated macrophages/microglia. AXL signaling activates NF-κB pathway promoting tumor growth while modifying immune microenvironment. Elevated AXL expression correlates with poor prognosis and is associated with epithelial-mesenchymal transition, stemness, and acquired therapeutic resistance.","[""AXL""]",1,0.8,"[""Enhanced invasive and migratory phenotype through EMT activation"", ""Increased stemness and resistance to therapeutic agents"", ""Sustained NF-\u03baB activation promoting proliferation and survival"", ""Enhanced recruitment of immunosuppressive myeloid cells"", ""Increased production of matrix metalloproteinases and metastasis-associated genes"", ""Poor prognostic outcome associated with high AXL expression""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,6,Apoptosis Evasion and Drug Resistance,"Multi-layered anti-apoptotic program centered on Inhibitor of Apoptosis (IAP) proteins BIRC3 and BAG3. BIRC3 (cIAP2) is uniquely prognostic of survival in GBM, with low expression associated with favorable outcomes and high expression correlating with shorter survival. BAG3 maintains HSP70-mediated suppression of BAX translocation to mitochondria, preventing apoptotic signaling. Both proteins are upregulated in response to standard therapy (temozolomide, radiation), contributing to therapeutic resistance. STAT3 and PI3K signaling pathways drive this therapy-induced resistance.","[""BIRC3"", ""BAG3""]",2,0.82,"[""Enhanced survival following exposure to DNA damaging chemotherapy"", ""Reduced apoptosis following ionizing radiation therapy"", ""Sustained proliferation despite conventional therapeutic insults"", ""Treatment-induced enrichment of therapy-resistant GBM cell populations"", ""Shorter overall survival in patients with high BIRC3 expression"", ""Potential synthetic lethality with dual inhibition of IAPs and complementary pathway components""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,7,Innate Immune Pattern Recognition,"Interferon-mediated innate immune response program centered on toll-like receptor signaling (TLR2) and interferon-stimulated gene expression. TLR2 expressed on glioma-associated microglia rapidly responds to tumor antigens and modulates inflammation-associated immune responses including phagocytosis. TLR2-MHC I axis on microglia contributes to CD8+ T cell proliferation and activation. GBP family proteins (GBP2, GBP5) are downstream effectors of interferon signaling involved in pathogen defense and tumor immunity. MX2 is interferon-induced antiviral protein with emerging roles in tumor immunogenicity.","[""TLR2"", ""GBP2"", ""GBP5"", ""MX2""]",4,0.72,"[""Enhanced innate immune recognition of glioblastoma antigens by resident and infiltrating immune cells"", ""Increased microglial phagocytosis activity in tumor-bearing brains"", ""Upregulation of MHC I on antigen-presenting cells supporting CD8+ T cell activation"", ""Coordinated activation of multiple interferon-responsive genes creating antiviral/anti-tumor state"", ""Potential for therapeutic enhancement through TLR2 agonists or interferon stimulation"", ""Complex relationship between interferon responses and immune evasion requiring careful pathway analysis""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,8,Extracellular Matrix Composition and Immunomodulation,"Comprehensive collagen-centered program remodeling the glioma extracellular matrix to establish immunosuppressive microenvironment. Six collagen genes (COL1A1, COL1A2, COL3A1, COL4A1, COL4A2, COL5A2) collectively regulate immune infiltration and EMT processes. Collagen expression correlates positively with stromal and immune scores but creates immunosuppressive phenotype. SPP1 (osteopontin) participates in ECM remodeling and tumor progression. These genes collectively confer cell adhesion-mediated drug resistance and establish permissive microenvironment for tumor growth.","[""COL1A1"", ""COL1A2"", ""COL3A1"", ""COL4A1"", ""COL4A2"", ""COL5A2"", ""SPP1""]",7,0.79,"[""Establishment of dense collagen-rich microenvironment reducing immune cell mobility"", ""Enhanced integrin-FAK-AKT signaling promoting tumor cell survival and proliferation"", ""Conferred cell adhesion-mediated drug resistance through ECM interactions"", ""Paradoxical immune infiltration despite immunosuppressive function of collagen matrix"", ""Enhanced invasion and EMT through ECM-supported signaling"", ""Poor prognosis associated with high collagen expression despite immune cell presence"", ""Potential for matrix-targeting therapies to enhance immunotherapy""]"
0_Gliosis_run1,0,Gliosis,0_Gliosis,1,9,Stemness Maintenance and Self-Renewal,"Multi-component program sustaining glioma stem cell (GSC) properties including self-renewal, differentiation capacity, and tumorigenicity. HMGA2 is central transcriptional modulator maintaining GSC propagation and clonogenicity. ANGPTL4 promotes stemness enrichment through EGFR/AKT/4E-BP1 cascade, particularly in temozolomide-resistant populations. PROM1 (CD133) serves as GSC marker. This program is essential for tumor initiation, recurrence following therapy, and resistance to conventional treatments.","[""HMGA2"", ""ANGPTL4"", ""PROM1""]",3,0.78,"[""Enhanced capacity for unlimited self-renewal and differentiation into multiple cell types"", ""Increased resistance to chemotherapy, radiation, and targeted therapies"", ""Maintenance of tumor-initiating phenotype despite conventional treatment"", ""Enhanced invasive capacity and propensity for distant dissemination"", ""Tumor recurrence following initial therapy response"", ""Poor prognostic outcome associated with high HMGA2 or ANGPTL4 expression""]"
