metamodule,annotation,folder,source_file,program_name,similar_terms_raw,novel_aspects,matched_term_count,supporting_gene_count
9,Proliferative 2,09_Proliferative_2,comparison geneset_10.md,DNA Replication Licensing,23,9,1,
9,Proliferative 2,09_Proliferative_2,comparison geneset_10.md,HR & DNA Damage Response,36,10,1,
9,Proliferative 2,09_Proliferative_2,comparison geneset_10.md,Mitotic Regulation,17,10,1,
9,Proliferative 2,09_Proliferative_2,comparison geneset_10.md,Cell Cycle Transcription,8,10,1,
9,Proliferative 2,09_Proliferative_2,comparison geneset_10.md,Epigenetic Regulation,7,10,1,
10,AC-gliosis-like 2,10_AC-gliosis-like_2,comparison geneset_11.md,**Mesenchymal Invasion & EMT**,extracellular structure organization (GO:0043062); extracellular matrix organization (GO:0030198); collagen fibril organization (GO:0030199); negative regulation of cell-matrix adhesion (GO:0001953),**Identifies specific ECM-remodeling mechanisms:** SERPINE1-PAI1 plasminogen activation axis; ANXA2 membrane repair and integrin stabilization; POSTN-integrin bidirectional signaling. GSEA only identifies structural terms; DeepSearch reveals active molecular mechanisms driving invasion and dispersal.,4,
10,AC-gliosis-like 2,10_AC-gliosis-like_2,comparison geneset_11.md,**Stemness & WNT-Driven Maintenance**,regulation of MAP kinase activity (GO:0043405); negative regulation of Ras protein signal transduction (GO:0046580); negative regulation of small GTPase mediated signal transduction (GO:0051058),**Identifies dedicated stemness maintenance circuit:** WNT/LEF1 self-renewal axis independent of classical RTK signaling. DeepSearch locates transcriptional stemness factors; GSEA captures only downstream signaling consequences. **Mechanistic specificity:** LEF1 nuclear transcriptional function in maintaining GSC pools.,3,
10,AC-gliosis-like 2,10_AC-gliosis-like_2,comparison geneset_11.md,**Angiogenesis & Microenvironment Interaction**,extracellular matrix organization (GO:0030198); collagen fibril organization (GO:0030199); angiotensin-activated signaling pathway (GO:0038166); cellular response to angiotensin (GO:1904385); collagen-containing extracellular matrix (GO:0062023),**Identifies non-canonical angiogenic pathways:** ALK-Pleiotrophin axis; PDGFD-independent ANGPT1 Tie2 signaling (distinct from VEGFA); collagen-diversity effect suggesting specialized vascular niches. DeepSearch reveals redundancy and alternative angiogenic routes not captured by GO pathway annotations.,5,
10,AC-gliosis-like 2,10_AC-gliosis-like_2,comparison geneset_11.md,**Neuronal-Synaptic & Neurotransmitter Modulation**,regulation of neuronal synaptic plasticity (GO:0048168); regulation of neurotransmitter receptor activity (GO:0099601); synaptic membrane (GO:0097060); dendritic spine membrane (GO:0032591); synaptic vesicle membrane (GO:0030672),"**Novel integration of bidirectional neuron-glioma synaptic communication:** DeepSearch identifies coordinated expression of presynaptic (CAMK2, GRM7), postsynaptic (GABBR2), and vesicular (SLC18A1) machinery in tumor cells—enabling exploitation of neuronal synapses for growth signals. **Mechanistic advance:** Reveals neurotensin (NTSR1) and GABAergic (GABBR2) crosstalk modulating stemness and invasion, a nexus not isolated by traditional GO analysis.",5,
10,AC-gliosis-like 2,10_AC-gliosis-like_2,comparison geneset_11.md,**Hypoxia/Metabolic Stress Adaptation**,regulation of MAP kinase activity (GO:0043405); regulation of neurotransmitter receptor activity (GO:0099601) *(indirect)*; endoplasmic reticulum lumen (GO:0005788); exocytic vesicle membrane (GO:0099501),**Identifies stress-response program distinct from classical signaling:** CA2/SLC4A4 pH buffering and metabolic adaptation; GDF15 paracrine/autocrine stress-induced apoptosis escape; TRIB3-mediated ER stress survival; RCAN1 calcineurin-dependent resilience. **Not explicitly in GSEA:** These genes define a metabolic-immune axis (HIF1A partners) regulating autophagy and therapeutic resistance.,4,
12,NPC-neuronal-like 3,12_NPC-neuronal-like_3,comparison geneset_13.md,**Glutamatergic Signaling & Excitotoxicity**,"excitatory synapse (GO:0060076), synaptic vesicle membrane (GO:0030672), integral synaptic vesicle component (GO:0030285), exocytic vesicle membrane (GO:0099501)",4/14 (28.6%),4,
12,NPC-neuronal-like 3,12_NPC-neuronal-like_3,comparison geneset_13.md,**GABAergic & Neuronal Differentiation**,"axonogenesis (GO:0007409), neuron projection (GO:0043005)",2/14 (14.3%),3,
12,NPC-neuronal-like 3,12_NPC-neuronal-like_3,comparison geneset_13.md,**Neural Cell Adhesion & Migration**,"cell-cell adhesion (GO:0098742), axon guidance (GO:0007411), axonogenesis (GO:0007409)",3/14 (21.4%),3,
12,NPC-neuronal-like 3,12_NPC-neuronal-like_3,comparison geneset_13.md,**Calcium Signaling & Ion Homeostasis**,"secretory vesicle (GO:0099503), exocytic vesicle (GO:0070382)",2/14 (14.3%),2,
12,NPC-neuronal-like 3,12_NPC-neuronal-like_3,comparison geneset_13.md,**Transcriptional & Epigenetic Reprogramming**,[None],0/14 (0%),0,
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Oligodendrocyte Lineage Programming,"myelination (GO:0042552), central nervous system myelination (GO:0022010), oligodendrocyte development (GO:0014003), axon ensheathment (GO:0032291), oligodendrocyte differentiation (GO:0048709), glial cell differentiation (GO:0010001)",Integrated stemness programming; hijacking of lineage programs for immune evasion \& infiltration; interaction of transcription factors with myelin biosynthesis genes extends beyond differentiation alone.,5,12.0
13,OPC-like 2,13_OPC-like_2,comparison geneset_14.md,Extracellular Matrix Remodeling and Invasion,"extracellular matrix organization (GO:0030198), extracellular structure organization (GO:0043062), external encapsulating structure organization (GO:0045229)","Dynamic interplay of matrix proteases, collagen synthesis, and integrin/adhesion—explicit mechanistic impact on migration speed, matrix stiffness, and angiogenesis, not identified in standard GSEA.",3,15.0
