folder,run_index,program_index,program_name
00_Gliosis,1,0,Mesenchymal Transition & Invasion
00_Gliosis,1,1,Hypoxia Response & Angiogenesis
00_Gliosis,1,2,Immunosuppression & Inflammation
00_Gliosis,1,3,Stem Cell Maintenance & Therapy Resistance
00_Gliosis,2,0,Mesenchymal Transition & Invasion
00_Gliosis,2,1,Immune Modulation and Inflammation
00_Gliosis,2,2,Stemness and Therapy Resistance
00_Gliosis,2,3,Angiogenesis & Hypoxic Response
00_Gliosis,2,4,Therapy Resistance and Drug Efflux
01_OPC-AC-like_1,1,0,Glial/astrocyte differentiation and tumor plasticity
01_OPC-AC-like_1,1,1,Mesenchymal invasion and matrix remodeling
01_OPC-AC-like_1,1,2,Redox and ferroptosis resistance
01_OPC-AC-like_1,1,3,Immune evasion: MHC class I downregulation
01_OPC-AC-like_1,2,0,Mesenchymal Invasion and ECM Remodeling
01_OPC-AC-like_1,2,1,"Cancer Stemness, Plasticity, and Therapy Resistance"
01_OPC-AC-like_1,2,2,Immune Evasion and Immune Microenvironment Interaction
01_OPC-AC-like_1,2,3,Proliferation and Aberrant Cell Cycle Regulation
01_OPC-AC-like_1,2,4,Aberrant Neural and Synaptic Programs
02_NPC-neuronal-like_1,1,0,Motile Ciliary Axoneme
02_NPC-neuronal-like_1,1,1,Extracellular Matrix Remodeling
02_NPC-neuronal-like_1,1,2,GABAergic Neurotransmission
02_NPC-neuronal-like_1,1,3,Transcriptional Regulation and Chromatin Remodeling
02_NPC-neuronal-like_1,1,4,cAMP Signaling and Kinase Cascades
02_NPC-neuronal-like_1,1,5,Neuregulin-BMP Signaling
02_NPC-neuronal-like_1,1,6,Solute Carrier Transporters
02_NPC-neuronal-like_1,1,7,Immune Cell Markers
02_NPC-neuronal-like_1,2,0,Motile Cilia Function and Structure
02_NPC-neuronal-like_1,2,1,Extracellular Matrix Remodeling and Tumor Invasion
02_NPC-neuronal-like_1,2,2,Inflammatory and Mesenchymal Signaling
02_NPC-neuronal-like_1,2,3,Neuronal and Synaptic Signaling Dysregulation
02_NPC-neuronal-like_1,2,4,Chromatin/Transcriptional Regulation and Tumor Suppressor Pathways
03_NPC-neuronal-like_2,1,0,Extracellular Matrix Remodeling & Invasion
03_NPC-neuronal-like_2,1,1,Glutamatergic & Synaptic Signaling Deregulation
03_NPC-neuronal-like_2,1,2,Axon Guidance & Cell Migration
03_NPC-neuronal-like_2,1,3,Transcriptional & Epigenetic Reprogramming
03_NPC-neuronal-like_2,1,4,Potassium Channel & Ion Transport Adaptations
03_NPC-neuronal-like_2,2,0,Extracellular Matrix and Invasion
03_NPC-neuronal-like_2,2,1,Glutamatergic Excitotoxicity and Synapse Dynamics
03_NPC-neuronal-like_2,2,2,Glioma Stem Cell Maintenance and Therapy Resistance
04_AC-gliosis-like_1,1,0,Aquaporin/ion channel invasion
04_AC-gliosis-like_1,1,1,Mesenchymal transition and ECM remodeling
04_AC-gliosis-like_1,1,2,Immune/Inflammatory microenvironment regulation
04_AC-gliosis-like_1,1,3,Stem-like state and plasticity signaling
04_AC-gliosis-like_1,1,4,Hypoxia/glycolytic metabolic adaptation
04_AC-gliosis-like_1,1,5,Angiogenesis and vascular niche formation
04_AC-gliosis-like_1,2,0,Aquaporin/Ion Channel-Driven Migration
04_AC-gliosis-like_1,2,1,Reactive Astrocyte-Like State and Stemness
04_AC-gliosis-like_1,2,2,ECM Remodeling and Cell-Cell Adhesion
04_AC-gliosis-like_1,2,3,Angiogenesis and Vascular Remodeling
04_AC-gliosis-like_1,2,4,"Immunomodulation, Hypoxia, and Inflammation"
04_AC-gliosis-like_1,2,5,Metabolic Adaptation and Glycolysis
04_AC-gliosis-like_1,2,6,Mesenchymal State Induction via Cytokine Receptors
05_AC-neuronal-like,1,0,Glioblastoma Invasion & Migration
05_AC-neuronal-like,1,1,Glioblastoma Immune Suppression
05_AC-neuronal-like,1,2,Glioblastoma Stem Cell Maintenance & Therapy Resistance
05_AC-neuronal-like,1,3,Glioblastoma Angiogenesis & Hypoxic Adaptation
05_AC-neuronal-like,2,0,Mesenchymal Invasion & EMT
05_AC-neuronal-like,2,1,Immune Evasion & TAM Polarization
05_AC-neuronal-like,2,2,Calcium & Glutamate Signaling
05_AC-neuronal-like,2,3,Stemness & Plasticity Regulation
06_OPC-NPC-like,1,0,Sonic Hedgehog and GLI Signaling
06_OPC-NPC-like,1,1,Notch Signaling
06_OPC-NPC-like,1,2,EGFR/ERBB Family Signaling
06_OPC-NPC-like,1,3,Stemness and Dedifferentiation Program
06_OPC-NPC-like,1,4,Mesenchymal Transition & Invasion
06_OPC-NPC-like,1,5,Immunosuppression
06_OPC-NPC-like,2,0,RTK/RAS/PI3K Pathway Activation
06_OPC-NPC-like,2,1,Proneural-Mesenchymal Transition & Stem Cell Plasticity
06_OPC-NPC-like,2,2,"Aberrant Translation, Ribosome Biogenesis, and Metabolic Adaptation"
06_OPC-NPC-like,2,3,Apoptosis and Therapy Resistance Programs
06_OPC-NPC-like,2,4,"Neural and Axon Guidance, Migration"
07_Proliferative,1,0,Cell Cycle Checkpoint Control
07_Proliferative,1,1,Spindle Assembly Checkpoint
07_Proliferative,1,2,Aurora Kinase Signaling
