metamodule,annotation,original_folder,new_folder
0,Gliosis,geneset_1,00_Gliosis
1,OPC-AC-like 1,geneset_2,01_OPC-AC-like_1
2,NPC-neuronal-like 1,geneset_3,02_NPC-neuronal-like_1
3,NPC-neuronal-like 2,geneset_4,03_NPC-neuronal-like_2
4,AC-gliosis-like 1,geneset_5,04_AC-gliosis-like_1
5,AC-neuronal-like,geneset_6,05_AC-neuronal-like
6,OPC-NPC-like,geneset_7,06_OPC-NPC-like
7,Proliferative,geneset_8,07_Proliferative
8,Gliosis-hypoxia,geneset_9,08_Gliosis-hypoxia
9,Proliferative 2,geneset_10,09_Proliferative_2
10,AC-gliosis-like 2,geneset_11,10_AC-gliosis-like_2
11,OPC-like 1,geneset_12,11_OPC-like_1
12,NPC-neuronal-like 3,geneset_13,12_NPC-neuronal-like_3
13,OPC-like 2,geneset_14,13_OPC-like_2
14,OPC-AC-like 2,geneset_15,14_OPC-AC-like_2
