folder,old_name,new_name
00_Gliosis,Prompt__Perform comprehensive literature analysis.md,run_1.md
00_Gliosis,Prompt__Perform comprehensive literature analysis_2.md,run_2.md
01_OPC-AC-like_1,Prompt__Perform comprehensive literature analysis.md,run_1.md
01_OPC-AC-like_1,Prompt__Perform comprehensive literature analysis_3.md,run_2.md
02_NPC-neuronal-like_1,Prompt__Perform comprehensive literature analysis.md,run_1.md
02_NPC-neuronal-like_1,Prompt__Perform comprehensive literature analysis_2.md,run_2.md
03_NPC-neuronal-like_2,Prompt__Perform comprehensive literature analysis copy.md,run_1.md
03_NPC-neuronal-like_2,Prompt__Perform comprehensive literature analysis.md,run_2.md
04_AC-gliosis-like_1,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
04_AC-gliosis-like_1,Prompt__Perform comprehensive literature analysis.md,run_2.md
05_AC-neuronal-like,Prompt__Perform comprehensive literature analysis copy.md,run_1.md
05_AC-neuronal-like,Prompt__Perform comprehensive literature analysis.md,run_2.md
06_OPC-NPC-like,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
06_OPC-NPC-like,Prompt__Perform comprehensive literature analysis.md,run_2.md
07_Proliferative,Prompt__Perform comprehensive literature analysis copy.md,run_1.md
07_Proliferative,Prompt__Perform comprehensive literature analysis.md,run_2.md
08_Gliosis-hypoxia,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
08_Gliosis-hypoxia,Prompt__Perform comprehensive literature analysis.md,run_2.md
09_Proliferative_2,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
09_Proliferative_2,Prompt__Perform comprehensive literature analysis.md,run_2.md
10_AC-gliosis-like_2,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
10_AC-gliosis-like_2,Prompt__Perform comprehensive literature analysis.md,run_2.md
11_OPC-like_1,Prompt__Perform comprehensive literature analysis(1) copy.md,run_1.md
11_OPC-like_1,Prompt__Perform comprehensive literature analysis(1).md,run_2.md
12_NPC-neuronal-like_3,Prompt__Perform comprehensive literature analysis(1) copy.md,run_1.md
12_NPC-neuronal-like_3,Prompt__Perform comprehensive literature analysis(1).md,run_2.md
13_OPC-like_2,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
13_OPC-like_2,Prompt__Perform comprehensive literature analysis.md,run_2.md
14_OPC-AC-like_2,Prompt__Perform comprehensive literature analysis(1).md,run_1.md
14_OPC-AC-like_2,Prompt__Perform comprehensive literature analysis.md,run_2.md
00_Gliosis,run_1.md,run_1.md
00_Gliosis,run_2.md,run_2.md
01_OPC-AC-like_1,run_1.md,run_1.md
01_OPC-AC-like_1,run_2.md,run_2.md
02_NPC-neuronal-like_1,run_1.md,run_1.md
02_NPC-neuronal-like_1,run_2.md,run_2.md
03_NPC-neuronal-like_2,run_1.md,run_1.md
03_NPC-neuronal-like_2,run_2.md,run_2.md
04_AC-gliosis-like_1,run_1.md,run_1.md
04_AC-gliosis-like_1,run_2.md,run_2.md
05_AC-neuronal-like,run_1.md,run_1.md
05_AC-neuronal-like,run_2.md,run_2.md
06_OPC-NPC-like,run_1.md,run_1.md
06_OPC-NPC-like,run_2.md,run_2.md
07_Proliferative,run_1.md,run_1.md
07_Proliferative,run_2.md,run_2.md
08_Gliosis-hypoxia,run_1.md,run_1.md
08_Gliosis-hypoxia,run_2.md,run_2.md
09_Proliferative_2,run_1.md,run_1.md
09_Proliferative_2,run_2.md,run_2.md
10_AC-gliosis-like_2,run_1.md,run_1.md
10_AC-gliosis-like_2,run_2.md,run_2.md
11_OPC-like_1,run_1.md,run_1.md
11_OPC-like_1,run_2.md,run_2.md
12_NPC-neuronal-like_3,run_1.md,run_1.md
12_NPC-neuronal-like_3,run_2.md,run_2.md
13_OPC-like_2,run_1.md,run_1.md
13_OPC-like_2,run_2.md,run_2.md
14_OPC-AC-like_2,run_1.md,run_1.md
14_OPC-AC-like_2,run_2.md,run_2.md
